"","block","start_meter","end_meter","formation_start","release_end","line","buffer"
"5673","31_73_1",11259,11294,6561.49376241127,6616.34553130151,"s25_s_2",NA
"2046","73_346_1",11294,11295,711.728967900094,731.584890818546,"ir46_s_1",83.744037413512
"376","73_346_1",11294,11295,815.328928232058,834.739936276807,"ice_s_1",173.565023689688
"2152","73_346_1",11294,11295,1008.3049599665,1028.07189991021,"ir70_s_1",80.9064086568751
"2298","73_346_1",11294,11295,1108.97830856708,1127.74667199961,"re_s_1",1263.98229590054
"2082","73_346_1",11294,11295,2391.72896790014,2411.58489081859,"ir_s_1",100.144077081638
"2224","73_346_1",11294,11295,2511.72896790023,2533.31526730044,"ir75_s_1",82.0136609299166
"727","73_346_1",11294,11295,2615.32892823036,2634.7399362751,"ic3_s_1",176.98903162513
"123","73_346_1",11294,11295,2811.72896790023,2831.58489081868,"rjx_s",166.708276795793
"5436","73_346_1",11294,11295,2998.29316761448,3016.39479446321,"s25_s_1",1295.33417343389
"1810","73_346_1",11294,11295,4311.72896789709,4331.58489081554,"ic2_s_1",276.720069148846
"2171","73_346_1",11294,11295,4608.30495996439,4628.0718999081,"ir70_s_2",80.9064086592116
"3013","73_346_1",11294,11295,4708.97830856731,4727.74667199984,"re_s_2",1263.98229589683
"340","73_346_1",11294,11295,5991.72896789667,6011.58489081512,"ec_s_1",100.144077081553
"2261","73_346_1",11294,11295,6111.72896789667,6133.31526729688,"ir75_s_2",82.0136609332139
"1078","73_346_1",11294,11295,6215.32892823009,6234.73993627482,"ic3_s_2",363.553231335859
"5674","73_346_1",11294,11295,6598.29316761068,6616.3947944594,"s25_s_2",-5362.3947944594
"5130","73_346_1",11295,11294,1254,1287.56799479605,"s24_n_1",836.432005203948
"11211","73_346_1",11295,11294,2124,2155.9956431291,"s8_n_1",898.0043568709
"5204","73_346_1",11295,11294,3054,3087.56799479606,"s24_n_2",446.432005203938
"8107","73_346_1",11295,11294,3534,3564.61983542053,"s2_n_1",359.380164579467
"11575","73_346_1",11295,11294,3924,3955.9956431291,"s8_n_2",898.0043568709
"5278","73_346_1",11295,11294,4854,4887.56799479603,"s24_n_3",446.432005203973
"8527","73_346_1",11295,11294,5334,5364.61983542051,"s2_n_2",359.380164579488
"11939","73_346_1",11295,11294,5724,5755.99564312907,"s8_n_3",898.004356870932
"5352","73_346_1",11295,11294,6654,6687.56799479603,"s24_n_4",446.432005203973
"8947","73_346_1",11295,11294,7134,7164.61983542051,"s2_n_3",359.380164579488
"12303","73_346_1",11295,11294,7524,7555.99564312907,"s8_n_4",1378.00435687093
"9367","73_346_1",11295,11294,8934,8964.61983542051,"s2_n_4",NA
"2047","74_346_1",11295,11385,711.728967900094,735.745732923803,"ir46_s_1",79.5831953082551
"377","74_346_1",11295,11385,815.328928232058,838.730252066282,"ice_s_1",169.574707900213
"2153","74_346_1",11295,11385,1008.3049599665,1032.19863675232,"ir70_s_1",76.7796718147642
"2299","74_346_1",11295,11385,1108.97830856708,1134.2419009986,"re_s_1",1257.48706690154
"2083","74_346_1",11295,11385,2391.72896790014,2415.74573292385,"ir_s_1",95.9832349763815
"2225","74_346_1",11295,11385,2511.72896790023,2539.64283812585,"ir75_s_1",75.6860901045061
"728","74_346_1",11295,11385,2615.32892823036,2638.73025206457,"ic3_s_1",172.998715835665
"124","74_346_1",11295,11385,2811.72896790023,2835.74573292394,"rjx_s",162.547434690536
"5437","74_346_1",11295,11385,2998.29316761448,3020.82847867376,"s25_s_1",1290.90048922334
"1811","74_346_1",11295,11385,4311.72896789709,4335.7457329208,"ic2_s_1",272.559227043589
"2172","74_346_1",11295,11385,4608.30495996439,4632.19863675019,"ir70_s_2",76.7796718171212
"3014","74_346_1",11295,11385,4708.97830856731,4734.24190099884,"re_s_2",1257.48706689783
"341","74_346_1",11295,11385,5991.72896789667,6015.74573292037,"ec_s_1",95.9832349762964
"2262","74_346_1",11295,11385,6111.72896789667,6139.64283812229,"ir75_s_2",75.6860901077998
"1079","74_346_1",11295,11385,6215.32892823009,6238.73025206425,"ic3_s_2",359.562915546435
"5675","74_346_1",11295,11385,6598.29316761068,6620.82847866991,"s25_s_2",NA
"2048","74_75_1",11385,11535,711.728967900094,742.680469765898,"ir46_s_1",72.6484584661602
"378","74_75_1",11385,11535,815.328928232058,845.380778382074,"ice_s_1",162.924181584421
"2154","74_75_1",11385,11535,1008.3049599665,1039.07653148917,"ir70_s_1",69.9017770779128
"2300","74_75_1",11385,11535,1108.97830856708,1150.5202058766,"re_s_1",119.183526496179
"9750","74_75_1",11385,11535,1269.70373237278,1303.67621976362,"s8_s_1",445.385380432302
"6158","74_75_1",11385,11535,1749.06160019592,1782.60720746042,"s2_s_1",366.125349384259
"4805","74_75_1",11385,11535,2148.73255684468,2192.9221688469,"s24_s_1",198.806799053247
"2084","74_75_1",11385,11535,2391.72896790014,2422.68046976595,"ir_s_1",89.0484981342865
"2226","74_75_1",11385,11535,2511.72896790023,2554.57631441967,"ir75_s_1",60.7526138106864
"729","74_75_1",11385,11535,2615.32892823036,2645.38077838034,"ic3_s_1",166.34818951989
"125","74_75_1",11385,11535,2811.72896790023,2842.68046976603,"rjx_s",155.612697848441
"5438","74_75_1",11385,11535,2998.29316761448,3028.217952358,"s25_s_1",41.4857800147734
"10112","74_75_1",11385,11535,3069.70373237278,3103.67621976362,"s8_s_2",445.385380432304
"6636","74_75_1",11385,11535,3549.06160019592,3582.60720746042,"s2_s_2",366.125349384261
"4890","74_75_1",11385,11535,3948.73255684468,3992.9221688469,"s24_s_2",318.806799050197
"1812","74_75_1",11385,11535,4311.72896789709,4342.68046976289,"ic2_s_1",265.624490201494
"2173","74_75_1",11385,11535,4608.30495996439,4639.07653148701,"ir70_s_2",69.9017770803039
"3015","74_75_1",11385,11535,4708.97830856731,4750.52020587686,"re_s_2",119.183526495913
"10474","74_75_1",11385,11535,4869.70373237277,4903.67621976345,"s8_s_3",445.385380432481
"7114","74_75_1",11385,11535,5349.06160019593,5382.60720746026,"s2_s_3",366.125349384423
"4975","74_75_1",11385,11535,5748.73255684468,5792.9221688469,"s24_s_3",198.80679904977
"342","74_75_1",11385,11535,5991.72896789667,6022.68046976247,"ec_s_1",89.0484981342015
"2263","74_75_1",11385,11535,6111.72896789667,6154.57631441611,"ir75_s_2",60.752613813981
"1080","74_75_1",11385,11535,6215.32892823009,6245.38077837995,"ic3_s_2",352.912389230728
"5676","74_75_1",11385,11535,6598.29316761068,6628.21795235409,"s25_s_2",41.4857800186837
"10836","74_75_1",11385,11535,6669.70373237277,6703.67621976345,"s8_s_4",445.385380432481
"7592","74_75_1",11385,11535,7149.06160019593,7182.60720746026,"s2_s_4",366.125349384423
"5060","74_75_1",11385,11535,7548.73255684468,7592.9221688469,"s24_s_4",NA
"379","75_78_1",11535,12055,815.328928232058,868.43593627682,"ice_s_1",240.542372290265
"2301","75_78_1",11535,12055,1108.97830856708,1262.07372517717,"re_s_1",7.63000719560455
